"Date,Open,High,Low,Close,AdjClose,Volume,return,volatility_20d,return_z"
"2018-07-02,24161.53,24319.42,24077.56,24307.18,24307.18,244110000.0,0.0014737503919219908,0.006164362339207414,0.08191916763205136"
"2018-07-03,24359.39,24444.88,24150.85,24174.82,24174.82,160960000.0,-0.005445304638382553,0.0062417449105176565,-0.4305727662736065"
"2018-07-05,24285.82,24372.8,24177.44,24356.74,24356.74,237670000.0,0.007525185296105796,0.005541570352915876,0.5301467887979511"
"2018-07-06,24352.47,24520.29,24281.47,24456.48,24456.48,219450000.0,0.004094965089745051,0.005558092671512371,0.276071603735764"
"2018-07-09,24519.2,24796.52,24518.43,24776.59,24776.59,240580000.0,0.013088964560721728,0.006390496017525786,0.9422539309811682"
"2018-07-10,24806.97,24945.38,24806.97,24919.66,24919.66,235040000.0,0.0057744023693333535,0.006567137588258926,0.40046692296934766"
"2018-07-11,24789.48,24815.16,24663.82,24700.45,24700.45,237370000.0,-0.00879666897541942,0.006803039324894766,-0.6788071252702972"
"2018-07-12,24802.9,24939.97,24802.9,24924.89,24924.89,233150000.0,0.009086474133062294,0.00712190426598358,0.6457908951004172"
"2018-07-13,24926.07,25043.21,24890.06,25019.41,25019.41,255520000.0,0.003792193265446775,0.007185337158487817,0.25364540289082904"
"2018-07-16,25025.58,25072.41,24979.64,25064.36,25064.36,231270000.0,0.0017966051157880525,0.007161470956372062,0.10583290167232136"
"2018-07-17,25033.92,25155.39,24989.61,25119.89,25119.89,250450000.0,0.002215496426000829,0.0071113396039906565,0.13686003134927258"
"2018-07-18,25133.79,25215.32,25101.12,25199.29,25199.29,252870000.0,0.003160841866743924,0.0065674097794335695,0.2068814303717343"
"2018-07-19,25139.15,25154.17,25052.62,25064.5,25064.5,285760000.0,-0.005348960228641397,0.006696064660892991,-0.42343657026808484"
"2018-07-20,25041.14,25124.1,24986.35,25058.12,25058.12,274080000.0,-0.00025454327834195656,0.006377735650860606,-0.04609492700241376"
"2018-07-23,25036.9,25081.45,24983.33,25044.29,25044.29,228820000.0,-0.0005519169035824723,0.006329594201638029,-0.06812128517192528"
"2018-07-24,25092.43,25286.62,25092.43,25241.94,25241.94,274940000.0,0.0078920185000253,0.005535970550593113,0.557317993142201"
"2018-07-25,25183.7,25432.87,25113.55,25414.1,25414.1,273670000.0,0.006820394945871833,0.005634685507922694,0.4779432193787971"
"2018-07-26,25468.55,25587.24,25463.16,25527.07,25527.07,297530000.0,0.004445170200794157,0.005224123636675526,0.30201117118234677"
"2018-07-27,25520.52,25580.22,25370.07,25451.06,25451.06,329680000.0,-0.002977623362179771,0.005373350179545502,-0.24779249585158025"
"2018-07-30,25439.32,25500.16,25287.38,25306.83,25306.83,296880000.0,-0.005666954539418012,0.005676069138679548,-0.4469902952474526"
"2018-07-31,25345.21,25490.98,25345.21,25415.19,25415.19,348700000.0,0.004281848022845924,0.005694302323184721,0.2899139558169864"
"2018-08-01,25461.63,25488.8,25278.32,25333.82,25333.82,315880000.0,-0.0032016286323257592,0.0055551894291147935,-0.26438448617386623"
"2018-08-02,25256.45,25360.48,25120.07,25326.16,25326.16,307700000.0,-0.0003023626125077117,0.005446724718051633,-0.04963688799814963"
"2018-08-03,25360.37,25467.9,25325.17,25462.58,25462.58,239020000.0,0.005386525237146111,0.0054808267636748485,0.37173700237733426"
"2018-08-06,25437.43,25540.02,25381.38,25502.18,25502.18,238990000.0,0.0015552233905598012,0.00482356926201583,0.0879538435307263"
"2018-08-07,25551.65,25692.72,25551.65,25628.91,25628.91,239910000.0,0.004969379088376025,0.0047888650154414595,0.34083913618489425"
"2018-08-08,25615.72,25634.11,25557.48,25583.75,25583.75,217770000.0,-0.0017620725969227369,0.004224437682333411,-0.15775708498714897"
"2018-08-09,25589.79,25613.31,25492.69,25509.23,25509.23,214970000.0,-0.0029127864367030076,0.003974878466452245,-0.24299004794784956"
"2018-08-10,25401.19,25401.19,25222.88,25313.14,25313.14,234480000.0,-0.007687021521229798,0.004383601845104663,-0.5966159348172133"
"2018-08-13,25327.19,25381.39,25153.93,25187.7,25187.7,219990000.0,-0.0049555290256364515,0.004543124837235511,-0.3942952616350822"
"2018-08-14,25215.69,25339.51,25201.87,25299.92,25299.92,219210000.0,0.004455349237921569,0.004620930592699555,0.30276512882538853"
"2018-08-15,25235.37,25235.37,24965.77,25162.41,25162.41,295810000.0,-0.005435195052000075,0.004745507093200276,-0.42982395282242714"
"2018-08-16,25294.97,25607.34,25294.97,25558.73,25558.73,342430000.0,0.01575047859088219,0.00574787225899196,1.1393913242320988"
"2018-08-17,25550.8,25728.16,25521.66,25669.32,25669.32,284160000.0,0.0043268973067127625,0.005786721889794912,0.29325074017682473"
"2018-08-20,25727.7,25790.17,25716.41,25758.69,25758.69,248570000.0,0.0034815881371224044,0.005791946808920265,0.23063899201553278"
"2018-08-21,25786.99,25888.82,25784.9,25822.29,25822.29,241620000.0,0.0024690696615394803,0.005596822206776629,0.15564211030351358"
"2018-08-22,25825.06,25836.16,25722.43,25733.6,25733.6,200480000.0,-0.00343462953905338,0.00551940557224012,-0.2816427800835989"
"2018-08-23,25714.86,25762.56,25608.02,25656.98,25656.98,213270000.0,-0.002977430285696525,0.005499540918222346,-0.24777819474545276"
"2018-08-24,25688.58,25826.05,25688.58,25790.35,25790.35,200330000.0,0.005198195578747011,0.005549215485475014,0.35778749187018943"
"2018-08-27,25882.71,26067.57,25882.71,26049.64,26049.64,220510000.0,0.010053760418140989,0.005714269076406165,0.7174374446233193"
"2018-08-28,26092.7,26122.24,26037.85,26064.02,26064.02,211470000.0,0.0005520229838109625,0.005678179927452178,0.013647147847887469"
"2018-08-29,26082.53,26167.94,26035.3,26124.57,26124.57,214960000.0,0.0023231259030647156,0.005582437471456001,0.14483210825921702"
"2018-08-30,26099.01,26104.37,25934.8,25986.92,25986.92,240440000.0,-0.005268986245515306,0.0057764021994207914,-0.4175129259127624"
"2018-08-31,25964.85,26028.83,25879.77,25964.82,25964.82,273440000.0,-0.0008504278306162849,0.005712424871945454,-0.09023188287890663"
"2018-09-04,25916.07,25971.77,25805.95,25952.48,25952.48,254600000.0,-0.0004752584458509457,0.005719936879888327,-0.06244322059793591"
"2018-09-05,25919.84,26011.22,25871.04,25974.99,25974.99,289210000.0,0.000867354487894767,0.005638972239766164,0.03700363968694367"
"2018-09-06,25973.02,26073.68,25880.84,25995.87,25995.87,262380000.0,0.0008038501651010943,0.005609457076920418,0.0322998971878085"
"2018-09-07,25951.02,26002.99,25818.39,25916.54,25916.54,281350000.0,-0.0030516385872062513,0.005614396378903833,-0.25327477712353796"
"2018-09-10,25991.91,26039.96,25854.13,25857.07,25857.07,252170000.0,-0.0022946735945462704,0.005306017374669254,-0.19720665058196882"
"2018-09-11,25841.14,26019.92,25754.32,25971.06,25971.06,265960000.0,0.004408465460317146,0.0051567409503375725,0.2992924641698747"
"2018-09-12,25989.07,26145.72,25929.43,25998.92,25998.92,282770000.0,0.0010727324953234696,0.005111540170413988,0.05221591531530987"
"2018-09-13,26083.94,26191.64,26067.08,26145.99,26145.99,260800000.0,0.005656773435204432,0.004932229371755156,0.39175418984741744"
"2018-09-14,26169.56,26211.11,26068.29,26154.67,26154.67,228640000.0,0.00033198207449780526,0.003712636691065122,-0.0026512036839828994"
"2018-09-17,26151.66,26184.47,26030.35,26062.12,26062.12,230230000.0,-0.0035385650057905282,0.0037755311133925713,-0.2893412429685174"
"2018-09-18,26076.21,26317.34,26076.21,26246.96,26246.96,243000000.0,0.0070922856621027375,0.003992302087608443,0.4980820675830493"
"2018-09-19,26287.84,26464.41,26280.76,26405.76,26405.76,251330000.0,0.0060502244831401875,0.004141679845286932,0.4208969683873545"
"2018-09-20,26519.39,26697.49,26519.39,26656.98,26656.98,260480000.0,0.009513833345451861,0.004395518541673969,0.6774452392660087"
"2018-09-21,26726.25,26769.16,26680.37,26743.5,26743.5,657620000.0,0.0032456789928940744,0.0042596773831581735,0.2131652859932403"
"2018-09-24,26705.25,26709.94,26548.68,26562.05,26562.05,254850000.0,-0.006784826219455198,0.004625690647178943,-0.529790651170537"
"2018-09-25,26601.58,26634.85,26475.58,26492.21,26492.21,234110000.0,-0.0026293151319269903,0.00424272729212791,-0.22199342968782296"
"2018-09-26,26536.86,26606.09,26349.34,26385.28,26385.28,262620000.0,-0.004036280853881191,0.0043815377687866875,-0.3262068780019551"
"2018-09-27,26418.27,26557.01,26379.95,26439.93,26439.93,226350000.0,0.002071230625561027,0.004376749372616522,0.12617431505708873"
"2018-09-28,26407.66,26515.76,26383.57,26458.31,26458.31,264030000.0,0.0006951606906675512,0.004152603923730709,0.02424930665143227"
"2018-10-01,26598.36,26737.98,26596.05,26651.21,26651.21,238320000.0,0.007290715091024191,0.004364815259805421,0.5127796644841214"
"2018-10-02,26648.91,26824.78,26627.66,26773.94,26773.94,258290000.0,0.004605044198743746,0.004402838453252292,0.3138529810872476"
"2018-10-03,26833.47,26951.81,26789.08,26828.39,26828.39,280130000.0,0.002033693957631977,0.004400786543058432,0.12339398747549314"
"2018-10-04,26784.08,26793.82,26471.61,26627.48,26627.48,289600000.0,-0.007488708789457732,0.0048501153377661435,-0.5819269816323004"
